ID,Name,Link
1, Przykladowa sekwencja 1,https://media.geeksforgeeks.org/wp-content/uploads/20190616234019/Canvas.move_.mp4
2, Przykladowa sekwencja 2,https://www.youtube.com/watch?v=S8efbZDXFKU
3, Przykladowa sekwencja 3,https://media.geeksforgeeks.org/wp-content/uploads/20190616234019/Canvas.move_.mp4
4, Przykladowa sekwencja 4,https://www.youtube.com/watch?v=S8efbZDXFKU
5, Przykladowa sekwencja 5,https://media.geeksforgeeks.org/wp-content/uploads/20190616234019/Canvas.move_.mp4
6, Przykladowa sekwencja 6,https://www.youtube.com/watch?v=S8efbZDXFKU
7, Przykladowa sekwencja 7,https://media.geeksforgeeks.org/wp-content/uploads/20190616234019/Canvas.move_.mp4
8, Przykladowa sekwencja 8,https://www.youtube.com/watch?v=S8efbZDXFKU
9, Przykladowa sekwencja 9,https://media.geeksforgeeks.org/wp-content/uploads/20190616234019/Canvas.move_.mp4
10, Przykladowa sekwencja 10,https://www.youtube.com/watch?v=S8efbZDXFKU
